OL012020,             AILEEN,    25,
20200117, 0000,  ,  DB,  0.9N, 115.6W, 25, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200117, 0600,  ,  DB,  1.2N, 116.0W, 25, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200117, 1200,  ,  DB,  1.6N, 116.4W, 25, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200117, 1800,  ,  DB,  2.1N, 116.7W, 30, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200118, 0000,  ,  DB,  2.7N, 117.1W, 30, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200118, 0600,  ,  TD,  3.5N, 117.2W, 30, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200118, 1200,  ,  TD,  4.3N, 117.3W, 30, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200118, 1800,  ,  TD,  5.2N, 117.0W, 30, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200119, 0000,  ,  TD,  6.0N, 116.6W, 30, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200119, 0600,  ,  TS,  7.0N, 116.1W, 35, 1004, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200119, 1200,  ,  TS,  8.1N, 115.5W, 45, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200119, 1800,  ,  TS,  9.2N, 115.0W, 60,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200120, 0000,  ,  HU, 10.4N, 114.4W, 70,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200120, 0600,  ,  HU, 11.7N, 113.7W, 75,  983, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200120, 1200,  ,  HU, 13.0N, 113.0W, 80,  978, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200120, 1800,  ,  HU, 14.5N, 112.2W, 75,  982, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200121, 0000,  ,  HU, 16.1N, 111.4W, 75,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200121, 0600,  ,  HU, 17.8N, 110.5W, 65,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200121, 1200,  ,  TS, 19.3N, 109.3W, 60,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200121, 1800,  ,  TS, 21.0N, 108.0W, 50,  996, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200122, 0000,  ,  TS, 22.9N, 106.6W, 40, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200122, 0600,  ,  TS, 24.5N, 105.4W, 35, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200122, 1200,  ,  EX, 25.8N, 104.0W, 45,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200122, 1800,  ,  EX, 27.0N, 102.5W, 55,  991, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20200123, 0000,  ,  EX, 28.0N, 100.0W, 65,  983, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
OL012020,             AILEEN,    25,
